author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,Category,location,bbox,normalized_tweet
245511351,2022-01-30 23:54:05+00:00,1d25440933eb512c,1.49E+18,en,2,0,1,0,Twitter for Android," I know nobody who's died of this 'virus'. Loads who've been sick after the vaccine.
And one who died after the vaccine.",no,"Southport, England","[-3.062965, 53.585124, -2.943696, 53.6801083]","['know', 'nobody', 'died', 'virus', 'load', 'sick', 'vaccine', 'one', 'died', 'vaccine']"
1.23E+18,2022-01-30 21:11:34+00:00,0c4f58af36a910a6,1.49E+18,en,1,0,0,0,Twitter for Android,Fuck me seems like us women just crack on with covid like we do with giving birth oh and having flu!,no,"York, England","[-1.147268, 53.9280019, -1.0233813, 54.004411]","['seems', 'like', 'u', 'woman', 'crack', 'covid', 'like', 'giving', 'birth', 'oh', 'flu']"
3094497934,2022-01-30 20:36:04+00:00,07e9c7d1954fff64,1.49E+18,en,1,0,1,0,Twitter for iPhone,  How have I only just seen this?! And how has it not gone viral?!,no,"Sheffield, England","[-1.573648, 53.309898, -1.325576, 53.4564311]","['seen', 'gone', 'viral']"
49360520,2022-01-30 19:24:59+00:00,55485f68a3057620,1.49E+18,en,0,0,2,0,Twitter for Android,"I don't get why a bunch of people singing in the street by Birmingham New Street is going viral?

What's so amazing about it? It's the kind of thing I would ignore or cross the street to avoid.",no,"Solihull, England","[-1.869112, 52.381169, -1.7058792, 52.513283]","['get', 'bunch', 'people', 'singing', 'street', 'birmingham', 'new', 'street', 'going', 'viral', 'amazing', 'kind', 'thing', 'would', 'ignore', 'cross', 'street', 'avoid']"
2742852911,2022-01-30 19:16:27+00:00,490f10d19b3c11e7,1.49E+18,en,1,0,0,1,Twitter for Android,":( 
BBC News - Avian flu outbreak sees birds culled at Whitby Wildlife Sanctuary
",yes,"Great Yarmouth, England","[1.6885818, 52.5492163, 1.7397919, 52.6408439]","['avian', 'flu', 'outbreak', 'see', 'bird', 'culled', 'whitby', 'wildlife', 'sanctuary', 'http', 'co', 'uvjcaatf']"
8.24E+17,2022-01-30 19:09:10+00:00,10c495236edc3bbd,1.49E+18,en,1,0,0,0,Twitter for Android,"  Oh no, have you gone and caught an imaginary virus? I wonder how that could have happened?! 🤔🙄

",no,"Llandrindod Wells, Wales","[-3.387871, 52.2249078, -3.361519, 52.2574742]","['oh', 'gone', 'caught', 'imaginary', 'virus', 'wonder', 'could', 'happened', 'http', 'co', 'utvckut', 'ul']"
455856732,2022-01-30 18:25:05+00:00,708d1e68a7eb8170,1.49E+18,en,1,0,0,0,Twitter for Android,  Just like the flu and whooping cough vaccine. Just like my anti-d jag. Me and my son are protected while we're at our most vulnerable to COVID.,yes,"Paisley, Scotland","[-4.481062, 55.813404, -4.3685083, 55.8560578]","['ceceeeeexo', 'like', 'flu', 'whooping', 'cough', 'vaccine', 'like', 'anti', 'jag', 'son', 'protected', 'vulnerable', 'covid']"
455856732,2022-01-30 18:20:11+00:00,708d1e68a7eb8170,1.49E+18,en,1,0,1,0,Twitter for Android,"  What's different is COVID. Covid infection, or any serious infection or virus, increases risk of miscarriage &amp; still births. 

The vaccine prevents the serious effects COVID can bring. Therefore LOWERING any chance of loss. 

You still talked about my son possibly being stillborn",yes,"Paisley, Scotland","[-4.481062, 55.813404, -4.3685083, 55.8560578]","['ceceeeeexo', 'different', 'covid', 'covid', 'infection', 'serious', 'infection', 'virus', 'increase', 'risk', 'miscarriage', 'amp', 'still', 'birth', 'vaccine', 'prevents', 'serious', 'effect', 'covid', 'bring', 'therefore', 'lowering', 'chance', 'loss', 'still', 'talked', 'son', 'possibly', 'stillborn']"
29227974,2022-01-30 18:16:23+00:00,569c1d39d5de5775,1.49E+18,en,0,0,0,0,Twitter for Android," No way.  All the lockdown calls were weeks late and against best advice &amp; led to an unnecessarily high infection rate. PPE and test and trace were poor. Arguably, to ok vaccine earlier than elsewhere was a calculated risk that paid off, but more likely forced by high death rate.",yes,"Bexley, London","[0.0748022, 51.4087608, 0.1889376, 51.478931]","['way', 'lockdown', 'call', 'week', 'late', 'best', 'advice', 'amp', 'led', 'unnecessarily', 'high', 'infection', 'rate', 'ppe', 'test', 'trace', 'poor', 'arguably', 'ok', 'vaccine', 'earlier', 'elsewhere', 'calculated', 'risk', 'paid', 'likely', 'forced', 'high', 'death', 'rate']"
2742852911,2022-01-30 18:00:01+00:00,490f10d19b3c11e7,1.49E+18,en,8,1,1,1,Twitter for Android," I've had two jabs of AZ and had crushed glass Pneumonia after jab one.
And the most awful and fatiguing bacterial chest infection after jab 2.
Both illnesses withing a 10 to 12 week timeframe.
I'm refusing the booster.
I'm in the UK btw.
I believe in free choice so choose wise.",yes,"Great Yarmouth, England","[1.6885818, 52.5492163, 1.7397919, 52.6408439]","['man', 'two', 'jab', 'az', 'crushed', 'glass', 'pneumonia', 'jab', 'one', 'awful', 'fatiguing', 'bacterial', 'chest', 'infection', 'jab', 'illness', 'withing', 'week', 'timeframe', 'refusing', 'booster', 'uk', 'btw', 'believe', 'free', 'choice', 'choose', 'wise']"
1.36E+18,2022-01-30 17:59:58+00:00,49d9269c0a7667cb,1.49E+18,en,0,0,0,0,Twitter for iPhone," “In order to exclude children who had been tested positive for SARS-CoV-2 from the control group, previous SARS-CoV-2 infection was addressed in the first question with termination of the rest of the questionnaire if confirmed.”",yes,"Gillingham, England","[0.526794, 51.3345696, 0.6381132, 51.407739]","['order', 'exclude', 'child', 'tested', 'positive', 'sars', 'cov', 'control', 'group', 'previous', 'sars', 'cov', 'infection', 'addressed', 'first', 'question', 'termination', 'rest', 'questionnaire', 'confirmed']"
171145213,2022-01-30 17:51:42+00:00,791e00bcadc4615f,1.49E+18,en,0,0,0,2,Twitter for Android,"  The jabs don't seem to make any difference when it comes to who gets the virus ..&amp; how bad the symptoms are when they get it..
No difference whatsoever.
👀 ",yes,"Glasgow, Scotland","[-4.3932845, 55.796184, -4.0902182, 55.9204214]","['jab', 'seem', 'make', 'difference', 'come', 'get', 'virus', 'amp', 'bad', 'symptom', 'get', 'difference', 'whatsoever', 'http', 'co', 'ddczbhz', 'xa']"
436212565,2022-01-30 17:39:07+00:00,666a4c66682d5ce7,1.49E+18,en,0,0,0,0,Twitter for Android,This needs to go viral. #BorisJohnsonResign  ,no,"Witney, England","[-1.5283849, 51.7754248, -1.4592657, 51.7997735]","['go', 'viral', 'borisjohnsonresign', 'deborahmeaden', 'http', 'co', 'fkmzgz', 'vsy']"
32570852,2022-01-30 17:35:59+00:00,477b54bb4fc386a8,1.49E+18,en,0,0,0,0,Twitter for Android,  South African variant #Omnicron is like the flu... 7% of population jabbed and no massive surge in hospitalisations.,yes,"Dudley, England","[-2.191695, 52.429765, -2.057189, 52.557702]","['south', 'african', 'variant', 'omnicron', 'like', 'flu', 'population', 'jabbed', 'massive', 'surge', 'hospitalisation']"
171145213,2022-01-30 17:34:00+00:00,791e00bcadc4615f,1.49E+18,en,1,0,1,0,Twitter for Android," It doesn't stop people getting or spreading the virus..
But some claim it reduces the symptoms-
Yet- those who are unjabbed often have very mild symptoms too.
😏 ",yes,"Glasgow, Scotland","[-4.3932845, 55.796184, -4.0902182, 55.9204214]","['stop', 'people', 'getting', 'spreading', 'virus', 'claim', 'reduces', 'symptom', 'yet', 'unjabbed', 'often', 'mild', 'symptom', 'http', 'co', 'sqtiwr', 'hxb']"
2468224328,2022-01-30 17:31:08+00:00,510f2580a3a6107d,1.49E+18,en,0,0,0,0,Twitter for Android,"   It's not propaganda when it's observable to front line medical staff. Common knowledge that viral infections can cause inflammatory damage to organs, and has been for decades.",yes,"Newhey, England","[-2.107396, 53.596719, -2.08502, 53.6055281]","['backpackeneur', 'leeds', 'lord', 'propaganda', 'observable', 'front', 'line', 'medical', 'staff', 'common', 'knowledge', 'viral', 'infection', 'cause', 'inflammatory', 'damage', 'organ', 'decade']"
62516256,2022-01-30 17:25:46+00:00,135989ad972a5d9d,1.49E+18,en,1,0,2,0,Twitter for Android,       The reason vaccines take 10 years is funding. The research for a covid virus vaccine started in 2003 during the SARS epidemic. Nearly 20 years of research. We now know that the vaccine works the same as the measles vaccine and reduces viral load in exhalation protecting others.,yes,"Bromley, London","[-0.080526, 51.3434174, 0.1331237, 51.4452233]","['b', 'lewthejeww', 'msc', 'debrarn', 'flanneryj', 'jimcognito', 'lozzafox', 'reason', 'vaccine', 'take', 'year', 'funding', 'research', 'covid', 'virus', 'vaccine', 'started', 'sars', 'epidemic', 'nearly', 'year', 'research', 'know', 'vaccine', 'work', 'measles', 'vaccine', 'reduces', 'viral', 'load', 'exhalation', 'protecting', 'others']"
8.58E+17,2022-01-30 16:53:09+00:00,0af014accd6f6e99,1.49E+18,en,2,0,1,0,Twitter for Android,"   I couldn't possibly comment until Sue Grey has compiled her full report, to which I will examine first before making public 😉",no,"Scotland, United Kingdom","[-7.66085699743185, 54.6336309570711, -0.740025000483186, 60.8452769694519]","['gifs', 'dashcamtwats', 'possibly', 'comment', 'sue', 'grey', 'compiled', 'full', 'report', 'examine', 'first', 'making', 'public']"
