author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,Disease,Category,location,bbox,normalized_tweet,preprocessed_tweet
88476272,2021-01-30 23:27:51+00:00,0af014accd6f6e99,1.36E+18,en,2,0,0,0,Twitter for iPhone," Also, spoongate and highlightergate took me perilously close to the 10,000 mark - I was severely hoping it wouldnÃ¢â‚¬â„¢t go viral and risk my hope for the birth announcement.",,no,"Scotland, United Kingdom","[-7.66085699743185, 54.6336309570711, -0.740025000483186, 60.8452769694519]","['highlightergate', 'took', 'perilously', 'close', 'mark', 'severely', 'hoping', 'go', 'viral', 'risk', 'hope', 'birth', 'announcement']",also spoongate highlightergate took perilously close mark severely hoping go viral risk hope birth announcement
2212479606,2021-01-30 23:22:42+00:00,544762ebf7fda780,1.36E+18,en,0,0,1,0,Twitter for Android,    But spreading the vaccine more thinly across more countries is the opposite of suppressing the virus!,,no,"Islington, London","[-0.1420579, 51.5185518, -0.076305, 51.575301]","['vaccine', 'thinly', 'across', 'country', 'opposite', 'suppressing', 'virus']",spreading vaccine thinly across countries opposite suppressing virus
21804682,2021-01-30 23:21:37+00:00,0282e03e23c71cd9,1.36E+18,en,0,0,0,0,Twitter for iPhone,   You read my mind!,,no,"Walberton, England","[-0.649321, 50.842058, -0.613803, 50.857136]",['mind'],read mind
3368074647,2021-01-30 23:17:59+00:00,6950c01e141ecebc,1.36E+18,en,2,0,0,0,Twitter for iPhone,The fact sea shanties are viral on tiktok has made my heart happy. IÃ¢â‚¬â„¢m no longer judged badly over loving themÃ°Å¸ËœÂ,,no,"Pendeen, England","[-5.672772, 50.147916, -5.650931, 50.155494]","['sea', 'shanty', 'viral', 'tiktok', 'made', 'heart', 'happy', 'longer', 'judged', 'badly', 'loving']",fact sea shanties viral tiktok made heart happy longer judged badly loving
1.17E+18,2021-01-30 23:11:52+00:00,3e20eaf0dc70acfe,1.36E+18,en,0,0,0,0,Twitter for Android,    good evening guys Ã¢ÂÂ¤Ã¯Â¸Â I miss you. This virus can't never get us back to normal. This Friday I am going to the hospital for a check up because of the major operation I had in February last year Ã°Å¸â„¢â€žÃ°Å¸â„¢â€ž ,,no,"Stockton-on-Tees, England","[-1.372296, 54.538762, -1.2717038, 54.600693]","['guy', 'miss', 'virus', 'never', 'get', 'u', 'back', 'normal', 'friday', 'going', 'hospital', 'check', 'major', 'operation', 'february', 'last', 'year']",good evening guys miss virus never get us back normal friday going hospital check major operation february last year
20361019,2021-01-30 23:08:11+00:00,7d04c46babac50ea,1.36E+18,en,0,0,0,0,Twitter for Android,"Great, teachers will be protected Ã°Å¸â€˜Â... but  nothing will change. There's no evidence to say that vaccinated people cannot pass on the virus.Ã°Å¸Â¤Â·Ã¢â‚¬ÂÃ¢â„¢â€šÃ¯Â¸Â ",,no,"Maidstone, South East","[0.464607, 51.2290786, 0.590854, 51.2980789]","['protected', 'nothing', 'change', 'evidence', 'say', 'vaccinated', 'people', 'pas', 'virus']",great teachers protected nothing change evidence say vaccinated people cannot pass virus
19972742,2021-01-30 22:44:30+00:00,06b9691f34c91d1c,1.36E+18,en,0,0,0,0,Twitter for iPhone, Might an owl have a Suffolk intonation?,,no,"Tottenham, London","[-0.170246, 51.564585, -0.034078, 51.6112184]","['owl', 'suffolk', 'intonation']",might owl suffolk intonation
159574584,2021-01-30 22:43:17+00:00,033214c4f54fa882,1.36E+18,en,1,0,0,0,Twitter for Android," Every headache makes me dwell on this shitty virus. Even sneezes.
Dry throat...? Covid.
Aching muscle? Covid.
Bit warm? Covid.
Nightmare!",COVID,yes,"Saint Julians, Wales","[-2.994125, 51.5904864, -2.968025, 51.609394]","['make', 'dwell', 'shitty', 'virus', 'even', 'sneeze', 'dry', 'throat', 'covid', 'aching', 'muscle', 'covid', 'bit', 'warm', 'covid', 'nightmare']",every headache makes dwell shitty virus even sneezes dry throat covid aching muscle covid bit warm covid nightmare
1158500888,2021-01-30 22:37:18+00:00,170fc17e15183819,1.36E+18,en,2,0,1,0,Twitter for Android,"  Has anyone looked into the use of virus killing air purifiers. A project was sponsored in London nursery schools by Sadiq Khan in 2018, which was successful, killing 99% of impurities including viruses. Don't sit there hoping for something to change,  take action.",,no,"Saint Leonards, England","[-1.859207, 50.810807, -1.800373, 50.844943]","['looked', 'use', 'virus', 'killing', 'air', 'purifier', 'project', 'sponsored', 'london', 'nursery', 'school', 'sadiq', 'khan', 'successful', 'killing', 'impurity', 'including', 'virus', 'sit', 'hoping', 'something', 'change', 'take', 'action']",anyone looked use virus killing air purifiers project sponsored london nursery schools sadiq khan successful killing impurities including viruses sit hoping something change take action
1.27E+18,2021-01-30 22:37:13+00:00,7d3d8e59b4047344,1.36E+18,en,0,0,0,0,Twitter for Android, There's no fecking virus!..Ã°Å¸ËœÂ,,no,"Falkirk, Scotland","[-3.8516393, 55.983199, -3.753932, 56.0406318]","['fecking', 'virus']",fecking virus
1.16E+18,2021-01-30 22:28:05+00:00,1b676cd4b8a8684a,1.36E+18,en,0,0,0,0,Twitter for Android,Providing supply ok the vac program is an easy operation. They do mass flu vac every year. This is not a miracle. In fact they should be doing a lot more if supply ok. ,,no,"Southampton, England","[-1.476463, 50.883056, -1.3164712, 50.959599]","['ok', 'vac', 'program', 'easy', 'operation', 'mass', 'flu', 'vac', 'every', 'year', 'miracle', 'fact', 'lot', 'supply', 'ok']",providing supply ok vac program easy operation mass flu vac every year miracle fact lot supply ok
20687183,2021-01-30 22:16:22+00:00,07e9c7d1954fff64,1.36E+18,en,76,5,17,13,Twitter for iPhone,"Broken heart is like chickenpox you get it only once in life; earlier in life you get it the better. Get it early in life and you can survive entire lifeÃ¢â‚¬â„¢s journey. Get it late and that can be your grave if God doesnÃ¢â‚¬â„¢t step in Ã°Å¸Ëœâ€š. My advice, try get broken heart early in life Ã°Å¸ËœÂ",,no,"Sheffield, England","[-1.573648, 53.309898, -1.325576, 53.4564311]","['like', 'chickenpox', 'get', 'life', 'earlier', 'life', 'get', 'better', 'get', 'early', 'life', 'survive', 'entire', 'life', 'journey', 'get', 'late', 'grave', 'god', 'step', 'advice', 'try', 'get', 'broken', 'heart', 'early', 'life']",broken heart like chickenpox get life earlier life get better get early life survive entire life journey get late grave god step advice try get broken heart early life
341760273,2021-01-30 21:34:37+00:00,630cfdb544a72480,1.36E+18,en,4,0,0,0,Twitter for iPad, I know this is going to sound strange but in the older generation having an urinary infection can cause confusion. Think a check up needed. Apologies if IÃ¢â‚¬â„¢m wrong.,,no,"Brampton, England","[-1.383005, 53.463835, -1.291533, 53.515279]","['going', 'sound', 'strange', 'older', 'generation', 'urinary', 'infection', 'cause', 'confusion', 'think', 'check', 'needed', 'apology', 'wrong']",know going sound strange older generation urinary infection cause confusion think check needed apologies wrong
1.34E+18,2021-01-30 21:08:11+00:00,6cf201f76d55b4c9,1.36E+18,en,3,0,0,0,Twitter for Android,"Viral TV GH
Bigger.Brighter.Viral ",,no,"Newbury, England","[-1.3552934, 51.369958, -1.283081, 51.422072]","['gh', 'bigger', 'brighter', 'viral']",viral tv gh bigger brighter viral
34694093,2021-01-30 13:47:12+00:00,700261a746f3cd96,1.36E+18,en,0,0,0,0,Instagram,"I cant wait to hug both my sons without worrying about the virus !!

who are you looking forward to hugging ??

#hugs #love #cantwait #misshuggingyou # @ CHERISH BRIDAL ",,no,"Northwich, England","[-2.570863, 53.2364774, -2.47076, 53.281203]","['wait', 'hug', 'son', 'without', 'worrying', 'virus', 'looking', 'forward', 'hugging', 'hug', 'love', 'cantwait', 'misshuggingyou', 'cherish', 'bridal']",cant wait hug sons without worrying virus looking forward hugging hugs love cantwait misshuggingyou cherish bridal
1.15E+18,2021-01-30 13:39:23+00:00,3554d7fe9a8821f9,1.36E+18,en,4,0,0,0,Twitter for Android," Problem with that is the kids will still take the virus back to household. And if the vacinations have been diverted from more vunerable people , they will still get infected and could die.",,no,"Epsom, South East","[-0.3047576, 51.308464, -0.217073, 51.381086]","['kid', 'still', 'take', 'virus', 'back', 'household', 'vacinations', 'diverted', 'vunerable', 'people', 'still', 'get', 'infected', 'could', 'die']",problem kids still take virus back household vacinations diverted vunerable people still get infected could die
310745610,2021-01-30 13:30:12+00:00,55274794874e883d,1.36E+18,en,0,0,0,0,Twitter for iPhone,"    But is she?  Generic comment possibly, but the flu and cv19 vaccine are very similar and the flu vaccine can be manufactured in 6 months and that protects against  3 or 4 virus.  The covid vaccine protects against 1.  IÃ¢â‚¬â„¢m not as convinced as you.",,no,"Stockport, England","[-2.215529, 53.374446, -2.095752, 53.454771]","['generic', 'comment', 'possibly', 'flu', 'cv', 'vaccine', 'similar', 'flu', 'vaccine', 'manufactured', 'month', 'protects', 'virus', 'covid', 'vaccine', 'protects', 'convinced']",generic comment possibly flu cv vaccine similar flu vaccine manufactured months protects virus covid vaccine protects convinced
112499577,2021-01-30 13:21:03+00:00,7311cef1d8c89ef9,1.36E+18,en,8,0,0,0,Twitter for Android,"We actually bought one of those galaxy lights everyone promotes when they go viral. And it is actually amazing. Ã°Å¸â„¢Ë†

If you've ever been in the Celestial Chamber at  it's got those vibes. ",,no,"Quedgeley, England","[-2.2994118, 51.8125126, -2.2568745, 51.8389063]","['bought', 'one', 'galaxy', 'light', 'everyone', 'promotes', 'go', 'viral', 'actually', 'amazing', 'ever', 'celestial', 'chamber', 'got', 'vibe']",actually bought one galaxy lights everyone promotes go viral actually amazing ever celestial chamber got vibes
2659600959,2021-01-30 13:19:02+00:00,791e00bcadc4615f,1.36E+18,en,2,0,0,1,Twitter for iPhone,"#England, #SouthAfrica and #Brazil let #Covid get so out of control the virus mutated . ",,no,"Glasgow, Scotland","[-4.3932845, 55.796184, -4.0902182, 55.9204214]","['brazil', 'let', 'covid', 'get', 'control', 'virus', 'mutated']",england southafrica brazil let covid get control virus mutated
2659600959,2021-01-30 12:43:50+00:00,791e00bcadc4615f,1.36E+18,en,1,0,0,0,Twitter for iPhone,  HSBC is a Hong Kong bank no matter where itÃ¢â‚¬â„¢s shingles are nailed,,no,"Glasgow, Scotland","[-4.3932845, 55.796184, -4.0902182, 55.9204214]","['hong', 'kong', 'bank', 'matter', 'shingle', 'nailed']",hsbc hong kong bank matter shingles nailed
2853913245,2021-01-29 17:16:07+00:00,282652abfa70c570,1.36E+18,en,1,0,0,0,Twitter for Android,"  Four times. That's going some! I know someone who had chickenpox 5 times, she's q health visitor and kept picking up off kids",,no,"Bury, England","[-2.364483, 53.535082, -2.2450333, 53.6263139]","['going', 'know', 'someone', 'chickenpox', 'time', 'q', 'health', 'visitor', 'kept', 'picking', 'kid']",four times going know someone chickenpox times q health visitor kept picking kids
3297217592,2021-01-29 17:11:23+00:00,791e00bcadc4615f,1.36E+18,en,4,0,1,0,Twitter for iPhone,     ThereÃ¢â‚¬â„¢s just no substitute for shingles of the old black Ballachulish larch ;),,no,"Glasgow, Scotland","[-4.3932845, 55.796184, -4.0902182, 55.9204214]","['substitute', 'shingle', 'old', 'black', 'ballachulish', 'larch']",substitute shingles old black ballachulish larch
3297217592,2021-01-29 10:11:13+00:00,791e00bcadc4615f,1.36E+18,en,2,0,0,0,Twitter for iPhone,"  In PNGÃ°Å¸â€¡ÂµÃ°Å¸â€¡Â¬, as and where I experienced it, houses built and roofed with wooden shingles seemed a very good solution.",,no,"Glasgow, Scotland","[-4.3932845, 55.796184, -4.0902182, 55.9204214]","['experienced', 'house', 'built', 'roofed', 'wooden', 'shingle', 'seemed', 'good', 'solution']",png experienced houses built roofed wooden shingles seemed good solution
4172492505,2021-01-28 15:59:22+00:00,21f60f5cf56dfac0,1.35E+18,en,1,0,0,0,Twitter for Android, Aww that's good. It's a horrible thing a urine infection so hopefully it will clear quickly. Good old toast what would we do without it. Ã¢â„¢Â¥,,no,"Greenock, Scotland","[-4.870808, 55.914905, -4.6409441, 55.963497]","['good', 'horrible', 'thing', 'urine', 'infection', 'hopefully', 'clear', 'quickly', 'good', 'old', 'toast', 'would', 'without']",aww good horrible thing urine infection hopefully clear quickly good old toast would without
49607700,2021-01-26 20:46:15+00:00,460c5314e8a33c64,1.35E+18,en,4,0,0,1,Twitter for Android,"Hope you can join my creative drama workshop tomorrow at 11am on  it's actually on facebook live #pantoonline. It's all about why laughter is infectious meaning you can catch it of others, only this virus does you some good. All ages welcome! 30 mins!",,no,"Wandsworth, London","[-0.259465, 51.417277, -0.127974, 51.486036]","['join', 'creative', 'drama', 'workshop', 'tomorrow', 'actually', 'facebook', 'live', 'pantoonline', 'laughter', 'infectious', 'meaning', 'catch', 'others', 'virus', 'good', 'age', 'welcome', 'min']",hope join creative drama workshop tomorrow actually facebook live pantoonline laughter infectious meaning catch others virus good ages welcome mins
266200690,2021-01-26 19:34:17+00:00,208d28e57bdc12e9,1.35E+18,en,0,0,0,0,Twitter for iPhone,"Interesting read, I have shingles and did think there may be a connection, as I have had the vaccine? I wonder if my immune system thinks it is fighting covid? ",Shingles,yes,"Wales, United Kingdom","[-5.35340678071236, 51.3787780012005, -2.64982707940341, 53.4300939018827]","['shingle', 'think', 'may', 'connection', 'vaccine', 'wonder', 'immune', 'system', 'think', 'fighting', 'covid']",interesting read shingles think may connection vaccine wonder immune system thinks fighting covid
629077088,2021-01-26 08:55:10+00:00,6b89e43ac6fb2c71,1.35E+18,en,1,0,0,0,Twitter for iPhone, It got me through chickenpox aged  19,,no,"Sidmouth, England","[-3.2588268, 50.675355, -3.216662, 50.7088925]","['chickenpox', 'aged']",got chickenpox aged
66180183,2021-01-25 20:26:08+00:00,50f2d0272381533f,1.35E+18,en,3,0,4,0,Twitter for iPhone,"Winter flu bug is straight from hell.  18 hours since I woke up with stomachache, havenÃ¢â‚¬â„¢t slept since and only just managed to brave a piece of toast.  Not a bloke feeling sorry for myself or anything, oh no... back to sips of water..",Winter Flu,yes,"East Midlands, England","[-2.03410488116464, 51.9772264213839, 0.357994000542651, 53.6163564980205]","['bug', 'straight', 'hell', 'hour', 'since', 'woke', 'stomachache', 'slept', 'since', 'managed', 'brave', 'piece', 'toast', 'bloke', 'feeling', 'sorry', 'anything', 'oh', 'back', 'sip', 'water']",winter flu bug straight hell hours since woke stomachache slept since managed brave piece toast bloke feeling sorry anything oh back sips water
636958998,2021-01-24 22:32:39+00:00,06168d1feda43857,1.35E+18,en,0,0,1,0,Twitter for iPhone,  Hospitals are always overworked this time of year with winter flu. The NHS isnÃ¢â‚¬â„¢t fit for purpose in its current state. People are dying of treatable conditions and mental health issues because the NHS is hiding behind Covid. Still if not enough people volunteer we will be coerced,Winter Flu,yes,"South East, England","[-1.95729593780907, 50.5746064789388, 1.45178800018019, 52.1962850088601]","['always', 'overworked', 'time', 'year', 'winter', 'flu', 'nh', 'fit', 'purpose', 'current', 'state', 'people', 'dying', 'treatable', 'condition', 'mental', 'health', 'issue', 'nh', 'hiding', 'behind', 'covid', 'still', 'enough', 'people', 'volunteer', 'coerced']",hospitals always overworked time year winter flu nhs fit purpose current state people dying treatable conditions mental health issues nhs hiding behind covid still enough people volunteer coerced
138418838,2021-01-24 06:43:02+00:00,457b4814b4240d87,1.35E+18,en,0,0,0,1,dlvr.it,"It's a Sin on Channel 4: What were the worst myths about HIV &amp; AIDS in the 80s?: The new Russell T Davies drama It's a Sin revisits the 1980s during the HIV &amp; AIDS crisis, when a 'new' virus began to claim more and more lives andÃ‚Â ... ",,no,"London, England","[-0.187894, 51.483718, -0.109978, 51.5164655]","['sin', 'channel', 'worst', 'myth', 'hiv', 'amp', 'aid', 'new', 'russell', 'davy', 'drama', 'sin', 'revisits', 'hiv', 'amp', 'aid', 'crisis', 'new', 'virus', 'began', 'claim', 'life']",sin channel worst myths hiv amp aids new russell davies drama sin revisits hiv amp aids crisis new virus began claim lives
1.19E+18,2021-01-23 12:14:01+00:00,2a3f152d1ac5044a,1.35E+18,en,1,0,0,0,Twitter for iPhone,Remember HQ Trivia? Currently listening to this fascinating podcast about the rise and fall of the hyper-viral app (and all the drama that went down along the way): ,,no,"Hackney, London","[-0.104501, 51.518605, -0.015834, 51.5766844]","['trivia', 'currently', 'listening', 'fascinating', 'podcast', 'rise', 'fall', 'hyper', 'viral', 'app', 'drama', 'went', 'along', 'way']",remember hq trivia currently listening fascinating podcast rise fall hyper viral app drama went along way
300759647,2021-01-22 21:30:39+00:00,3a39f348d4d697fb,1.35E+18,en,3,0,0,1,Twitter for Android,"#MakeTVorMovieSick
Shingles White Female",,no,"Hastings, England","[0.507898, 50.844534, 0.623748, 50.8990508]","['white', 'female']",maketvormoviesick shingles white female
645503,2021-01-22 09:46:10+00:00,4393349f368f67a1,1.35E+18,en,99,1,12,12,Twitter for iPhone,"This thread is getting attention again - great. 

It you're interested in the facts on Covid, and the track records of ""Sceptics"" like Allison, check out Anti-Virus, the Covid-19 FAQ. ",,no,"Lambeth, London","[-0.15191, 51.410792, -0.078902, 51.509887]","['getting', 'attention', 'great', 'interested', 'fact', 'covid', 'track', 'record', 'sceptic', 'like', 'allison', 'check', 'anti', 'virus', 'covid', 'faq']",thread getting attention great interested facts covid track records sceptics like allison check anti virus covid faq
1.23E+18,2021-01-22 09:32:33+00:00,6bc1630ac15fbcaa,1.35E+18,en,0,0,0,0,Twitter for Android,"Imagine using the recent death of a mentally unwell man to further spread your bullshit about this virus being fake. I mean, some people have no morals.",,no,"West Bromwich, England","[-2.0971002, 52.460709, -1.921566, 52.569037]","['recent', 'death', 'mentally', 'unwell', 'man', 'spread', 'bullshit', 'virus', 'fake', 'mean', 'people', 'moral']",imagine using recent death mentally unwell man spread bullshit virus fake mean people morals
1693358005,2021-01-22 00:23:13+00:00,593b55aac2dd394d,1.35E+18,en,4,0,2,0,Twitter for Android,"              I was invited to book my Covid test. Went to pick up some meds (got a bout of shingles). Watched Josh, felt so much better Ã°Å¸â€™â€œ",Shingle ,yes,"Wimborne Minster, England","[-2.0026878, 50.791715, -1.923345, 50.818913]","['invited', 'book', 'covid', 'test', 'went', 'pick', 'med', 'got', 'bout', 'shingle', 'watched', 'josh', 'felt', 'much', 'better']",invited book covid test went pick meds got bout shingles watched josh felt much better
45688187,2021-01-21 17:53:22+00:00,791e00bcadc4615f,1.35E+18,en,44,0,5,0,Twitter for iPhone,"Important news only marginally related to shingles, you say? Well, I got dressed in actual clothes today to make a little mix for  Ã£â‚¬Â°Ã¯Â¸Â
Goes out at 11 on Sunday morning and is heavy on the healing power of country bops Ã£â‚¬Â°Ã¯Â¸Â  ",,no,"Glasgow, Scotland","[-4.3932845, 55.796184, -4.0902182, 55.9204214]","['marginally', 'related', 'shingle', 'say', 'well', 'got', 'dressed', 'actual', 'clothes', 'today', 'make', 'little', 'mix', 'go', 'sunday', 'morning', 'heavy', 'healing', 'power', 'country', 'bop']",important news marginally related shingles say well got dressed actual clothes today make little mix goes sunday morning heavy healing power country bops
62046136,2021-01-21 09:39:07+00:00,3862855830ff6e32,1.35E+18,en,1,0,0,0,Twitter for iPhone,"When it comes to infections/viruses etc schools have NEVER been safe, we all know kids catch measles, chickenpox &amp; head lice at school for example ",,no,"Castletown, England","[-1.482502, 54.899687, -1.386305, 54.935375]","['come', 'infection', 'virus', 'etc', 'school', 'never', 'safe', 'know', 'kid', 'catch', 'measles', 'chickenpox', 'amp', 'head', 'louse', 'school', 'example']",comes infections viruses etc schools never safe know kids catch measles chickenpox amp head lice school example
368860989,2021-01-20 19:38:51+00:00,7aeb72d9e8a1c889,1.35E+18,en,2,0,2,0,Twitter for iPhone,So people still use calamine lotion! Last time I had that was at a chickenpox party in 1978! #MarriedatfirstsightAustralia ,,no,"Plymouth, England","[-4.2037009, 50.3602507, -4.082159, 50.444179]","['still', 'use', 'calamine', 'lotion', 'last', 'time', 'chickenpox', 'party', 'marriedatfirstsightaustralia']",people still use calamine lotion last time chickenpox party marriedatfirstsightaustralia
25338855,2021-01-20 00:06:54+00:00,76bc77cb0305966e,1.35E+18,en,1,0,0,0,Twitter for Android," Chickenpox is no fun. You can't go out or mix with anyone for days. Oh, hang on...",,no,"Altofts, England","[-1.444746, 53.701595, -1.4187729, 53.714723]","['fun', 'go', 'mix', 'anyone', 'day', 'oh', 'hang']",chickenpox fun go mix anyone days oh hang
2700213681,2021-01-19 20:39:10+00:00,791e00bcadc4615f,1.35E+18,en,9,0,2,2,Twitter for iPhone,"Ok, hereÃ¢â‚¬â„¢s my theory; when Sam went missing at the start itÃ¢â‚¬â„¢s because he had Chickenpox and was put into quarantine for 14 days. The producers created drama by pretending he was Ã¢â‚¬Ëœat a funeralÃ¢â‚¬â„¢. They surely wouldnÃ¢â‚¬â„¢t allow him on while still contagious #MarriedatfirstsightAustralia",,no,"Glasgow, Scotland","[-4.3932845, 55.796184, -4.0902182, 55.9204214]","['theory', 'sam', 'went', 'missing', 'start', 'chickenpox', 'put', 'quarantine', 'day', 'producer', 'created', 'drama', 'pretending', 'funeral', 'surely', 'allow', 'still', 'contagious', 'marriedatfirstsightaustralia']",ok theory sam went missing start chickenpox put quarantine days producers created drama pretending funeral surely allow still contagious marriedatfirstsightaustralia
2700213681,2021-01-19 20:20:46+00:00,791e00bcadc4615f,1.35E+18,en,4,0,1,0,Twitter for iPhone,"I thought Chickenpox was contagious for 2 weeks Ã°Å¸Â¤â€. IÃ¢â‚¬â„¢m not medical, just remember when my kids had it. #MarriedatfirstsightAustralia",,no,"Glasgow, Scotland","[-4.3932845, 55.796184, -4.0902182, 55.9204214]","['chickenpox', 'contagious', 'week', 'medical', 'remember', 'kid', 'marriedatfirstsightaustralia']",thought chickenpox contagious weeks medical remember kids marriedatfirstsightaustralia
3299766147,2021-01-19 19:45:57+00:00,04b7a67971e66f54,1.35E+18,en,0,0,0,0,Twitter for iPhone," No, very unwell after an accident. But it had left me more exhausted than proper flu",,no,"Truro, England","[-5.103939, 50.2489983, -5.030021, 50.277049]","['unwell', 'accident', 'left', 'exhausted', 'proper', 'flu']",unwell accident left exhausted proper flu
8.42E+17,2021-01-19 08:38:53+00:00,22272db2a2603259,1.35E+18,en,8,0,1,0,Twitter for Android,  Charlie Mullington Mr plastic fantastic sitting in Dubai dictating his employees and future employee have the vaccine or else &amp; then the analogy from Dr Hilary on shingles/chicken pox being spread?? that is against human rights on choice. PP's rip off anyway!,,no,"Bishop's Stortford, East","[0.1299207, 51.8462064, 0.1895772, 51.886416]","['mr', 'plastic', 'fantastic', 'sitting', 'dubai', 'dictating', 'employee', 'future', 'employee', 'vaccine', 'else', 'amp', 'analogy', 'dr', 'hilary', 'shingle', 'chicken', 'pox', 'spread', 'human', 'right', 'choice', 'pp', 'rip', 'anyway']",charlie mullington mr plastic fantastic sitting dubai dictating employees future employee vaccine else amp analogy dr hilary shingles chicken pox spread human rights choice pp rip anyway
1636583586,2021-01-18 20:13:36+00:00,2083f7d174edb764,1.35E+18,en,1,1,0,0,Twitter for iPhone," phonics &amp; writing with Ruth &amp; Sara + blend in books &amp; green words , story with Mr H &amp; OliverÃ¢â‚¬â„¢s veg + 2 challenges - D drew &amp; wrote his favours Ã°Å¸ÂÂÃ°Å¸ÂÅ Ã°Å¸ÂÅ’Ã°Å¸Â¥â€™Ã°Å¸Ââ€œÃ°Å¸Â«Â we baked some scones involved numbers &amp; shapes learning &amp; drew Rex w/chickenpox on Ã°Å¸Ëœâ€¦Ã°Å¸Ëœâ€¦ ",,no,"Armthorpe, England","[-1.075775, 53.5266563, -1.039822, 53.5449803]","['writing', 'ruth', 'amp', 'sara', 'blend', 'book', 'amp', 'green', 'word', 'story', 'mr', 'h', 'amp', 'oliver', 'veg', 'challenge', 'drew', 'amp', 'wrote', 'favour', 'baked', 'scone', 'involved', 'number', 'amp', 'shape', 'learning', 'amp', 'drew', 'rex', 'w', 'chickenpox']",phonics amp writing ruth amp sara blend books amp green words story mr h amp oliver veg challenges drew amp wrote favours baked scones involved numbers amp shapes learning amp drew rex w chickenpox
871547965,2021-01-18 11:34:34+00:00,4b485c18c6a6ab6f,1.35E+18,en,3,0,0,0,Twitter for iPhone,"Perfect comment from Alan Laing, MD IFS marking the passing of Geoff Shingles. Ã¢â‚¬ËœGeoff was a legend of our industry as well as being a gent and all-round lovely guy. He inspired so many people. Geoff Shingles CBE ",,no,"Esher, South East","[-0.387744, 51.349772, -0.305355, 51.403572]","['alan', 'laing', 'md', 'ifs', 'marking', 'passing', 'geoff', 'shingle', 'geoff', 'legend', 'industry', 'well', 'gent', 'round', 'lovely', 'guy', 'inspired', 'many', 'people', 'geoff', 'shingle', 'cbe']",perfect comment alan laing md ifs marking passing geoff shingles geoff legend industry well gent round lovely guy inspired many people geoff shingles cbe
2778616972,2021-01-18 09:08:25+00:00,3d5b770553a36b34,1.35E+18,en,0,0,0,0,Twitter for iPad,"  Definitely to early to lift restrictions #MP #LabourParty #Barry I have started wearing my mask when out,some people don't keep the 2mtr distance either walking past you or in a shop
I am already unwell fighting #flu #viruses with #diabetes 
Tune into  #wearamask be safe ",flu,yes,"Fair Oak, England","[-1.342025, 50.9556611, -1.283609, 50.982119]","['early', 'lift', 'restriction', 'mp', 'labourparty', 'barry', 'started', 'wearing', 'mask', 'people', 'keep', 'mtr', 'distance', 'either', 'walking', 'past', 'shop', 'already', 'unwell', 'fighting', 'flu', 'virus', 'diabetes', 'tune', 'wearamask', 'safe']",definitely early lift restrictions mp labourparty barry started wearing mask people keep mtr distance either walking past shop already unwell fighting flu viruses diabetes tune wearamask safe
