author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,Disease,Category,location,bbox,normalized_tweet,encode_label
88476272,2021-01-30 23:27:51+00:00,0af014accd6f6e99,1.36E+18,en,2,0,0,0,Twitter for iPhone," Also, spoongate and highlightergate took me perilously close to the 10,000 mark - I was severely hoping it wouldnÃ¢â‚¬â„¢t go viral and risk my hope for the birth announcement.",,no,"Scotland, United Kingdom","[-7.66085699743185, 54.6336309570711, -0.740025000483186, 60.8452769694519]","['spoongate', 'highlightergate', 'took', 'perilously', 'close', 'mark', 'severely', 'hoping', 'go', 'viral', 'risk', 'hope', 'birth', 'announcement']",0
2212479606,2021-01-30 23:22:42+00:00,544762ebf7fda780,1.36E+18,en,0,0,1,0,Twitter for Android,    But spreading the vaccine more thinly across more countries is the opposite of suppressing the virus!,,no,"Islington, London","[-0.1420579, 51.5185518, -0.076305, 51.575301]","['bouledenerfs', 'sbarrellkane', 'danieleales', 'spreading', 'vaccine', 'thinly', 'across', 'country', 'opposite', 'suppressing', 'virus']",0
21804682,2021-01-30 23:21:37+00:00,0282e03e23c71cd9,1.36E+18,en,0,0,0,0,Twitter for iPhone,   You read my mind!,,no,"Walberton, England","[-0.649321, 50.842058, -0.613803, 50.857136]","['measles', 'britishmuseum', 'read', 'mind']",0
3368074647,2021-01-30 23:17:59+00:00,6950c01e141ecebc,1.36E+18,en,2,0,0,0,Twitter for iPhone,The fact sea shanties are viral on tiktok has made my heart happy. IÃ¢â‚¬â„¢m no longer judged badly over loving themÃ°Å¸ËœÂ,,no,"Pendeen, England","[-5.672772, 50.147916, -5.650931, 50.155494]","['sea', 'shanty', 'viral', 'tiktok', 'made', 'heart', 'happy', 'longer', 'judged', 'badly', 'loving']",0
1.17E+18,2021-01-30 23:11:52+00:00,3e20eaf0dc70acfe,1.36E+18,en,0,0,0,0,Twitter for Android,    good evening guys Ã¢ÂÂ¤Ã¯Â¸Â I miss you. This virus can't never get us back to normal. This Friday I am going to the hospital for a check up because of the major operation I had in February last year Ã°Å¸â„¢â€žÃ°Å¸â„¢â€ž ,,no,"Stockton-on-Tees, England","[-1.372296, 54.538762, -1.2717038, 54.600693]","['shanefilan', 'kianeganwl', 'good', 'evening', 'guy', 'miss', 'virus', 'never', 'get', 'u', 'back', 'normal', 'friday', 'going', 'hospital', 'check', 'major', 'operation', 'february', 'last', 'year', 'http', 'co', 'e', 'kk']",0
3958819095,2021-01-30 23:09:48+00:00,7bc0da87641dd821,1.36E+18,en,0,0,0,0,Twitter for Android,"  The virus killed those people every single death should be on the conscience of the CCP, unfortunately they don't have one.",,no,"Hull, England","[-0.422572, 53.719616, -0.2453134, 53.812018]","['virus', 'killed', 'people', 'every', 'single', 'death', 'conscience', 'ccp', 'unfortunately', 'one']",0
20361019,2021-01-30 23:08:11+00:00,7d04c46babac50ea,1.36E+18,en,0,0,0,0,Twitter for Android,"Great, teachers will be protected Ã°Å¸â€˜Â... but  nothing will change. There's no evidence to say that vaccinated people cannot pass on the virus.Ã°Å¸Â¤Â·Ã¢â‚¬ÂÃ¢â„¢â€šÃ¯Â¸Â ",,no,"Maidstone, South East","[0.464607, 51.2290786, 0.590854, 51.2980789]","['protected', 'nothing', 'change', 'evidence', 'say', 'vaccinated', 'people', 'pas', 'virus', 'http', 'co', 'cfn', 'oscch']",0
19972742,2021-01-30 22:44:30+00:00,06b9691f34c91d1c,1.36E+18,en,0,0,0,0,Twitter for iPhone, Might an owl have a Suffolk intonation?,,no,"Tottenham, London","[-0.170246, 51.564585, -0.034078, 51.6112184]","['might', 'owl', 'suffolk', 'intonation']",0
159574584,2021-01-30 22:43:17+00:00,033214c4f54fa882,1.36E+18,en,1,0,0,0,Twitter for Android," Every headache makes me dwell on this shitty virus. Even sneezes.
Dry throat...? Covid.
Aching muscle? Covid.
Bit warm? Covid.
Nightmare!",COVID,yes,"Saint Julians, Wales","[-2.994125, 51.5904864, -2.968025, 51.609394]","['headache', 'make', 'dwell', 'shitty', 'virus', 'even', 'sneeze', 'dry', 'throat', 'covid', 'aching', 'muscle', 'covid', 'bit', 'warm', 'covid', 'nightmare']",1
1158500888,2021-01-30 22:37:18+00:00,170fc17e15183819,1.36E+18,en,2,0,1,0,Twitter for Android,"  Has anyone looked into the use of virus killing air purifiers. A project was sponsored in London nursery schools by Sadiq Khan in 2018, which was successful, killing 99% of impurities including viruses. Don't sit there hoping for something to change,  take action.",,no,"Saint Leonards, England","[-1.859207, 50.810807, -1.800373, 50.844943]","['allisonpearson', 'anyone', 'looked', 'use', 'virus', 'killing', 'air', 'purifier', 'project', 'sponsored', 'london', 'nursery', 'school', 'sadiq', 'khan', 'successful', 'killing', 'impurity', 'including', 'virus', 'sit', 'hoping', 'something', 'change', 'take', 'action']",0
